AP-Nr;Arbeitspaket;PSP-Phase;Ressource;Dauer (AT);Vorgaenger (lag=Fast-Track);FAZ;FEZ;SAZ;SEZ;GP (AT);Kritisch;Maßnahme
1030;Stand Mobile Robotik recherchieren;1000 Recherche;TM-C Software/Projektleitung;10;;15.07.2026;28.07.2026;15.07.2026;28.07.2026;0;ja;
1010;Algorithmik recherchieren;1000 Recherche;TM-C Software/Projektleitung;12;1030;29.07.2026;13.08.2026;10.08.2026;25.08.2026;8;nein;
1020;Marktsichtung durchführen;1000 Recherche;TM-B Elektrik/Hardware/Beschaffung;8;1030;29.07.2026;07.08.2026;12.08.2026;21.08.2026;10;nein;
2010;Anwendungsfälle definieren;2000 Anforderungsaufnahme;TM-A Systems/Anforderungen/Aufbau;6;1030;29.07.2026;05.08.2026;29.07.2026;05.08.2026;0;ja;
2020;Maturity Level definieren;2000 Anforderungsaufnahme;TM-A Systems/Anforderungen/Aufbau;4;2010;06.08.2026;11.08.2026;06.08.2026;11.08.2026;0;ja;
2030;Lastenheft erstellen;2000 Anforderungsaufnahme;TM-A Systems/Anforderungen/Aufbau;8;2020;12.08.2026;21.08.2026;12.08.2026;21.08.2026;0;ja;
3020;Sensorik/Aktorik auswählen;3000 Konzeption;TM-B Elektrik/Hardware/Beschaffung;8;2030, 1020;24.08.2026;02.09.2026;24.08.2026;02.09.2026;0;ja;
3030;Softwarearchitektur erarbeiten;3000 Konzeption;TM-C Software/Projektleitung;10;2030, 1010;24.08.2026;04.09.2026;26.08.2026;08.09.2026;2;nein;
3010;Testfälle definieren;3000 Konzeption;TM-A Systems/Anforderungen/Aufbau;6;2030, 2020;24.08.2026;31.08.2026;01.09.2026;08.09.2026;6;nein;
3040;Kostenkalkulation durchführen;3000 Konzeption;TM-A Systems/Anforderungen/Aufbau;4;3020;03.09.2026;08.09.2026;03.09.2026;08.09.2026;0;ja;
3050;Pflichtenheft erstellen;3000 Konzeption;TM-A Systems/Anforderungen/Aufbau;8;3010, 3020, 3030, 3040;09.09.2026;18.09.2026;09.09.2026;18.09.2026;0;ja;
4010;Bauteile beschaffen;4000 Prototyp erstellen;TM-B Elektrik/Hardware/Beschaffung;15;3020, 3040;09.09.2026;29.09.2026;11.09.2026;01.10.2026;2;nein;M1
4030;Software implementieren;4000 Prototyp erstellen;TM-C Software/Projektleitung;25;3050;21.09.2026;23.10.2026;21.09.2026;23.10.2026;0;ja;
4020;Softwaretest erstellen;4000 Prototyp erstellen;TM-A Systems/Anforderungen/Aufbau;10;3050;21.09.2026;02.10.2026;02.10.2026;15.10.2026;9;nein;
4040;Prototyp aufbauen;4000 Prototyp erstellen;TM-A + TM-B;10;4010;30.09.2026;13.10.2026;02.10.2026;15.10.2026;2;nein;M2
5000;Test durchführen;5000 Test durchführen;TM-B + TM-A;8;4040, 4030-6, 4020, 3010;16.10.2026;27.10.2026;16.10.2026;27.10.2026;0;ja;M3
6000;Maturity Level feststellen;6000 Maturity Level;TM-A Systems/Anforderungen/Aufbau;5;5000, 2020;28.10.2026;03.11.2026;28.10.2026;03.11.2026;0;ja;
7000;Endbericht erstellen und abgeben;7000 Endbericht;TM-C Software/Projektleitung;5;6000-3;30.10.2026;05.11.2026;30.10.2026;05.11.2026;0;ja;M4
