ID;Arbeitspaket;Dauer;FAZ;FEZ;SAZ;SEZ;GP;Kritisch
1001;Steckbriefdefinition;1;15.07.26;15.07.26;09.10.26;09.10.26;86;nein
1002;Projektorganisation und Planung;4;16.07.26;19.07.26;10.10.26;13.10.26;86;nein
1010;Algorithmik recherchieren;8;15.07.26;22.07.26;15.07.26;22.07.26;0;ja
1020;Marktsichtung durchführen;8;15.07.26;22.07.26;15.07.26;22.07.26;0;ja
1030;Stand zu Mobile Robotik recherchieren;8;15.07.26;22.07.26;15.07.26;22.07.26;0;ja
101;Dokumente zusammentragen;3;23.07.26;25.07.26;14.10.26;16.10.26;83;nein
2010;Anwendungsfälle definieren;3;23.07.26;25.07.26;23.07.26;25.07.26;0;ja
2020;Maturity Level definieren;4;26.07.26;29.07.26;26.07.26;29.07.26;0;ja
2030;Lastenheft erstellen;7;30.07.26;05.08.26;30.07.26;05.08.26;0;ja
3010;Testfälle definieren;5;06.08.26;10.08.26;10.08.26;14.08.26;4;nein
3020;Sensorik/Aktorik auswählen;5;06.08.26;10.08.26;06.08.26;10.08.26;0;ja
3030;Softwarearchitektur erarbeiten;5;06.08.26;10.08.26;10.08.26;14.08.26;4;nein
3040;Kostenkalkulation durchführen;4;11.08.26;14.08.26;11.08.26;14.08.26;0;ja
3050;Pflichtenheft erstellen;8;15.08.26;22.08.26;15.08.26;22.08.26;0;ja
201;Dokumente zusammentragen;2;23.08.26;24.08.26;15.10.26;16.10.26;53;nein
4010;Bauteile beschaffen;14;23.08.26;05.09.26;24.08.26;06.09.26;1;nein
4020;Softwaretest erstellen;10;23.08.26;01.09.26;23.08.26;01.09.26;0;ja
4030;Software implementieren;15;02.09.26;16.09.26;02.09.26;16.09.26;0;ja
4040;Prototyp aufbauen;10;06.09.26;15.09.26;07.09.26;16.09.26;1;nein
5000;Test durchführen;8;17.09.26;24.09.26;17.09.26;24.09.26;0;ja
6000;Maturity Level feststellen;5;25.09.26;29.09.26;25.09.26;29.09.26;0;ja
301;Dokumente zusammentragen;3;30.09.26;02.10.26;30.09.26;02.10.26;0;ja
401;Endbericht erstellen und abgeben;6;03.10.26;08.10.26;03.10.26;08.10.26;0;ja
7000;Präsentation ausarbeiten;8;09.10.26;16.10.26;09.10.26;16.10.26;0;ja
